location_id,borough,zone,service_zone,centroid_lat,centroid_lon
25,Brooklyn,Boerum Hill,Boro Zone,40.68563374132065,-73.98611382213666
26,Brooklyn,Borough Park,Boro Zone,40.630949655245466,-73.9886612307829
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.559133279467545,-73.90690832237583
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.711596357945105,-73.80872901637515
29,Brooklyn,Brighton Beach,Boro Zone,40.58092197193379,-73.9612167686685
30,Queens,Broad Channel,Boro Zone,40.60368744213566,-73.82192695679406
31,Bronx,Bronx Park,Boro Zone,40.8577466809159,-73.87547595053036
32,Bronx,Bronxdale,Boro Zone,40.86400220602362,-73.86490099876723
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69579822121127,-73.99525011996627
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.700855738517056,-73.97118869233039
35,Brooklyn,Brownsville,Boro Zone,40.66400311792597,-73.91025783136133
36,Brooklyn,Bushwick North,Boro Zone,40.700522199519206,-73.91771053131582
37,Brooklyn,Bushwick South,Boro Zone,40.694994318442134,-73.92224002165723
38,Queens,Cambria Heights,Boro Zone,40.6943414672317,-73.73555427058818
39,Brooklyn,Canarsie,Boro Zone,40.63803713911712,-73.89973495669396
40,Brooklyn,Carroll Gardens,Boro Zone,40.6791990140971,-73.99595619089148
41,Manhattan,Central Harlem,Boro Zone,40.80433394979462,-73.9512920024351
42,Manhattan,Central Harlem North,Boro Zone,40.818257861119235,-73.94077166756267
43,Manhattan,Central Park,Yellow Zone,40.78247809974789,-73.96555356545912
44,Staten Island,Charleston/Tottenville,Boro Zone,40.5254945817638,-74.23353354937646
45,Manhattan,Chinatown,Yellow Zone,40.71245931177953,-73.99815149899052
46,Bronx,City Island,Boro Zone,40.849085943139656,-73.781987146132
47,Bronx,Claremont/Bathgate,Boro Zone,40.842749176098025,-73.90031590586491
48,Manhattan,Clinton East,Yellow Zone,40.76225275531937,-73.98984464313303
49,Brooklyn,Clinton Hill,Boro Zone,40.68796745714746,-73.96236353818358
50,Manhattan,Clinton West,Yellow Zone,40.76623772504189,-73.99513522075517
51,Bronx,Co-Op City,Boro Zone,40.87397305492027,-73.82826367307186
52,Brooklyn,Cobble Hill,Boro Zone,40.68665124165607,-73.99672403175195
53,Queens,College Point,Boro Zone,40.780912355791045,-73.84281349543167
54,Brooklyn,Columbia Street,Boro Zone,40.68720074733728,-74.00291127745284
55,Brooklyn,Coney Island,Boro Zone,40.576960753637756,-73.98794343407192
56,Queens,Corona,Boro Zone,40.742350290525096,-73.85836829104208
57,Queens,Corona,Boro Zone,,
58,Bronx,Country Club,Boro Zone,40.84145210068251,-73.8203931925278
59,Bronx,Crotona Park,Boro Zone,40.83855028852789,-73.89498588493973
60,Bronx,Crotona Park East,Boro Zone,40.83399047727388,-73.88590003419156
61,Brooklyn,Crown Heights North,Boro Zone,40.67446941826647,-73.93928705867958
62,Brooklyn,Crown Heights South,Boro Zone,40.66654040578563,-73.94878853931496
63,Brooklyn,Cypress Hills,Boro Zone,40.68383976195104,-73.87817261050246
64,Queens,Douglaston,Boro Zone,40.760615605321455,-73.73933714992846
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.69533752946118,-73.98608600498393
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.70225893882249,-73.98570161582282
67,Brooklyn,Dyker Heights,Boro Zone,40.61961946783513,-74.01380148744009
68,Manhattan,East Chelsea,Yellow Zone,40.74842755506574,-73.99991742024714
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.831416697085196,-73.91502929553263
70,Queens,East Elmhurst,Boro Zone,40.76335220113318,-73.86839559842018
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.64428817438921,-73.93796627061695
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.652364804077436,-73.92225097400495
73,Queens,East Flushing,Boro Zone,40.754108886892965,-73.80729418212228
74,Manhattan,East Harlem North,Boro Zone,40.8011694805865,-73.93734560812491
75,Manhattan,East Harlem South,Boro Zone,40.79001075149542,-73.94575026755162
76,Brooklyn,East New York,Boro Zone,40.66093519655055,-73.87682061127197
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.666558939035276,-73.89536411750329
78,Bronx,East Tremont,Boro Zone,40.8449604101461,-73.88552181587428
79,Manhattan,East Village,Yellow Zone,40.72762019590955,-73.98593745682462
80,Brooklyn,East Williamsburg,Boro Zone,40.71536988214351,-73.9367931449188
81,Bronx,Eastchester,Boro Zone,40.88093541148942,-73.836643344083
82,Queens,Elmhurst,Boro Zone,40.739495646778174,-73.8771183328092
83,Queens,Elmhurst/Maspeth,Boro Zone,40.738323813825986,-73.89217338112864
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.528686446566205,-74.18767433468821
85,Brooklyn,Erasmus,Boro Zone,40.64611634689508,-73.95162318261015
86,Queens,Far Rockaway,Boro Zone,40.602432793416696,-73.75524369679601
87,Manhattan,Financial District North,Yellow Zone,40.706808451665864,-74.00749598562432
88,Manhattan,Financial District South,Yellow Zone,40.70335790323616,-74.01151502922315
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.63790012347378,-73.9609682490637
90,Manhattan,Flatiron,Yellow Zone,40.74227862901228,-73.99697141558364
91,Brooklyn,Flatlands,Boro Zone,40.62627276333641,-73.93009701219938
92,Queens,Flushing,Boro Zone,40.76110218983435,-73.82885869884261
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.74067587216073,-73.84086726234152
94,Bronx,Fordham South,Boro Zone,40.85815519618405,-73.89953593442152
95,Queens,Forest Hills,Boro Zone,40.7214322750213,-73.84766941187516
96,Queens,Forest Park/Highland Park,Boro Zone,40.69700061310114,-73.8715584251815
97,Brooklyn,Fort Greene,Boro Zone,40.69078679421093,-73.974882086189
98,Queens,Fresh Meadows,Boro Zone,40.73446262820092,-73.77725346665984
99,Staten Island,Freshkills Park,Boro Zone,40.576773635487115,-74.18641851305904
100,Manhattan,Garment District,Yellow Zone,40.75351275872571,-73.9887865991153
101,Queens,Glen Oaks,Boro Zone,40.7459938183842,-73.71102598691235
102,Queens,Glendale,Boro Zone,40.70354561076291,-73.87573576709775
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.69011176407866,-74.02355242011046
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
106,Brooklyn,Gowanus,Boro Zone,40.673512796860756,-73.99064727363113
107,Manhattan,Gramercy,Yellow Zone,40.736824057618975,-73.98405213268916
108,Brooklyn,Gravesend,Boro Zone,40.58840346529034,-73.98143115020046
109,Staten Island,Great Kills,Boro Zone,40.55186299807703,-74.15088980760534
110,Staten Island,Great Kills Park,Boro Zone,40.54578031659563,-74.12834244237264
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.65213727041905,-73.99023450433012
112,Brooklyn,Greenpoint,Boro Zone,40.72950628420879,-73.94954030482202
113,Manhattan,Greenwich Village North,Yellow Zone,40.73257907302702,-73.99430477051168
114,Manhattan,Greenwich Village South,Yellow Zone,40.728340391372306,-73.99738026020043
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.61797137588924,-74.08783880974954
116,Manhattan,Hamilton Heights,Boro Zone,40.827012654925355,-73.94852173020875
117,Queens,Hammels/Arverne,Boro Zone,40.59405875281409,-73.78962208250111
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.58655462662637,-74.13297872511701
119,Bronx,Highbridge,Boro Zone,40.83782699169886,-73.92615723620787
120,Manhattan,Highbridge Park,Boro Zone,40.846667748302785,-73.93018219742844
121,Queens,Hillcrest/Pomonok,Boro Zone,40.728333322973015,-73.80244428186217
122,Queens,Hollis,Boro Zone,40.710639284251066,-73.76113699730595
123,Brooklyn,Homecrest,Boro Zone,40.59995429251391,-73.96433367133905
124,Queens,Howard Beach,Boro Zone,40.65824796123063,-73.84491858438551
125,Manhattan,Hudson Sq,Yellow Zone,40.72629041028118,-74.0074858180095
126,Bronx,Hunts Point,Boro Zone,40.812074458592114,-73.88553752149437
127,Manhattan,Inwood,Boro Zone,40.866075000727804,-73.91930823586212
128,Manhattan,Inwood Hill Park,Boro Zone,40.87237880957367,-73.92436981716112
129,Queens,Jackson Heights,Boro Zone,40.75731206303918,-73.8853172406108
130,Queens,Jamaica,Boro Zone,40.70436877745509,-73.7939796582272
131,Queens,Jamaica Estates,Boro Zone,40.72065523874956,-73.77610076139923
132,Queens,JFK Airport,Airports,40.646984892395224,-73.78653298335028
133,Brooklyn,Kensington,Boro Zone,40.64059007067447,-73.97619898951326
134,Queens,Kew Gardens,Boro Zone,40.70805099798809,-73.82871246597533
135,Queens,Kew Gardens Hills,Boro Zone,40.7283776832573,-73.82119590387464
136,Bronx,Kingsbridge Heights,Boro Zone,40.8652641915249,-73.90591118270508
137,Manhattan,Kips Bay,Yellow Zone,40.74043897859646,-73.97649472376762
138,Queens,LaGuardia Airport,Airports,40.77437570593243,-73.87362864289081
139,Queens,Laurelton,Boro Zone,40.67709779790903,-73.7442343516672
140,Manhattan,Lenox Hill East,Yellow Zone,40.765484087889845,-73.95473878380504
141,Manhattan,Lenox Hill West,Yellow Zone,40.76694821638323,-73.95963474149173
142,Manhattan,Lincoln Square East,Yellow Zone,40.77363329302709,-73.9815322063918
143,Manhattan,Lincoln Square West,Yellow Zone,40.77596522876097,-73.9876455494439
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.72088889344526,-73.99691854183823
145,Queens,Long Island City/Hunters Point,Boro Zone,40.74537943399852,-73.94889145447942
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.7542425205003,-73.93482888929138
147,Bronx,Longwood,Boro Zone,40.81967597930489,-73.89895638182647
148,Manhattan,Lower East Side,Yellow Zone,40.71893835938026,-73.99089626184735
149,Brooklyn,Madison,Boro Zone,40.60491359556376,-73.94813559494116
150,Brooklyn,Manhattan Beach,Boro Zone,40.58047327426203,-73.94362872180558
151,Manhattan,Manhattan Valley,Yellow Zone,40.79796199310003,-73.96816833309238
152,Manhattan,Manhattanville,Boro Zone,40.81797514762944,-73.95378223705632
153,Manhattan,Marble Hill,Boro Zone,40.875967802212415,-73.91037866410583
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.59357083658536,-73.90259658693135
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.61459098927576,-73.91527709386867
156,Staten Island,Mariners Harbor,Boro Zone,40.631307692853014,-74.1672353417072
157,Queens,Maspeth,Boro Zone,40.72399507493349,-73.9023296813136
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.73503540069666,-74.00898410478536
159,Bronx,Melrose South,Boro Zone,40.81825974768985,-73.91284939799154
160,Queens,Middle Village,Boro Zone,40.71833677001371,-73.8800514081495
161,Manhattan,Midtown Center,Yellow Zone,40.758028043526274,-73.97769793122401
162,Manhattan,Midtown East,Yellow Zone,40.75668765218883,-73.97235594352028
163,Manhattan,Midtown North,Yellow Zone,40.764421405786784,-73.97756868222716
164,Manhattan,Midtown South,Yellow Zone,40.74857462935671,-73.98515639467682
165,Brooklyn,Midwood,Boro Zone,40.620924048746254,-73.95682460583805
166,Manhattan,Morningside Heights,Boro Zone,40.809456961125285,-73.96176359682921
167,Bronx,Morrisania/Melrose,Boro Zone,40.82751255686402,-73.90235177500071
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.807347167665306,-73.91682193806461
169,Bronx,Mount Hope,Boro Zone,40.84905837739127,-73.9051222193854
170,Manhattan,Murray Hill,Yellow Zone,40.747745793643915,-73.97849159965227
171,Queens,Murray Hill-Queens,Boro Zone,40.768351626308466,-73.80954582099432
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.57176889293259,-74.10501900721492
173,Queens,North Corona,Boro Zone,40.752579239149604,-73.86303754486693
174,Bronx,Norwood,Boro Zone,40.87713760287661,-73.8790222522603
175,Queens,Oakland Gardens,Boro Zone,40.74267210348262,-73.75462173612374
176,Staten Island,Oakwood,Boro Zone,40.561994234584105,-74.12258402976961
177,Brooklyn,Ocean Hill,Boro Zone,40.67664410104018,-73.91363213611348
178,Brooklyn,Ocean Parkway South,Boro Zone,40.61731493715172,-73.97032580128298
179,Queens,Old Astoria,Boro Zone,40.7715702435834,-73.92833318686121
180,Queens,Ozone Park,Boro Zone,40.67559499070675,-73.84704317269409
181,Brooklyn,Park Slope,Boro Zone,40.670374325917244,-73.98141374048748
182,Bronx,Parkchester,Boro Zone,40.83774866435355,-73.85798694048576
183,Bronx,Pelham Bay,Boro Zone,40.84917261718261,-73.83158179959666
184,Bronx,Pelham Bay Park,Boro Zone,40.86827620354767,-73.80785726631251
185,Bronx,Pelham Parkway,Boro Zone,40.85440471268925,-73.85439380221179
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.74849718140501,-73.99243753697608
187,Staten Island,Port Richmond,Boro Zone,40.62816687457199,-74.14078750231764
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.65874445085669,-73.94744164500473
189,Brooklyn,Prospect Heights,Boro Zone,40.67763538934729,-73.96758681222953
190,Brooklyn,Prospect Park,Boro Zone,40.661622158356835,-73.96891374270629
191,Queens,Queens Village,Boro Zone,40.715454515305204,-73.7415317699754
192,Queens,Queensboro Hill,Boro Zone,40.743751485431545,-73.81522935845769
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.76031363502697,-73.94199705818423
194,Manhattan,Randalls Island,Yellow Zone,40.79100078171129,-73.9245963002457
195,Brooklyn,Red Hook,Boro Zone,40.67554886228086,-74.00917849113297
196,Queens,Rego Park,Boro Zone,40.72615563957923,-73.86333855806278
197,Queens,Richmond Hill,Boro Zone,40.69454235438128,-73.83092407449992
198,Queens,Ridgewood,Boro Zone,40.70652679441955,-73.90170926444718
199,Bronx,Rikers Island,Boro Zone,40.79113290307752,-73.88265824700598
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.899529064376466,-73.9069871077142
201,Queens,Rockaway Park,Boro Zone,40.57798249377506,-73.84345281477815
202,Manhattan,Roosevelt Island,Boro Zone,40.761899749955084,-73.94995171169586
203,Queens,Rosedale,Boro Zone,40.6578534180194,-73.73947255987297
204,Staten Island,Rossville/Woodrow,Boro Zone,40.5403340052961,-74.20782608356558
205,Queens,Saint Albans,Boro Zone,40.69120144680614,-73.76314612543844
206,Staten Island,Saint George/New Brighton,Boro Zone,40.63897220516652,-74.10231250352763
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.76398558883056,-73.89935256434545
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.823318583877544,-73.82354011891955
209,Manhattan,Seaport,Yellow Zone,40.7090727427931,-74.00366456329898
210,Brooklyn,Sheepshead Bay,Boro Zone,40.59202346436429,-73.94050716694058
211,Manhattan,SoHo,Yellow Zone,40.723888110041734,-74.00153756565635
212,Bronx,Soundview/Bruckner,Boro Zone,40.8279021485874,-73.86967965711676
213,Bronx,Soundview/Castle Hill,Boro Zone,40.81785855770818,-73.85813498781438
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.58678663305195,-74.08551235826926
215,Queens,South Jamaica,Boro Zone,40.69442755408874,-73.79096393223054
216,Queens,South Ozone Park,Boro Zone,40.676154037213806,-73.81945963682766
217,Brooklyn,South Williamsburg,Boro Zone,40.703916440465775,-73.9585968450717
218,Queens,Springfield Gardens North,Boro Zone,40.6720897067673,-73.77303565610488
219,Queens,Springfield Gardens South,Boro Zone,40.662184880711415,-73.7645057855823
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.88240311320922,-73.91066467564434
221,Staten Island,Stapleton,Boro Zone,40.61876927873205,-74.07370444530254
222,Brooklyn,Starrett City,Boro Zone,40.64752703432355,-73.88241292571811
223,Queens,Steinway,Boro Zone,40.77742692053276,-73.90540773409828
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.731820636016764,-73.97659767323346
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.68816818695491,-73.93188826440706
226,Queens,Sunnyside,Boro Zone,40.73769895644442,-73.92467306585047
227,Brooklyn,Sunset Park East,Boro Zone,40.641886315765205,-74.00465205914722
228,Brooklyn,Sunset Park West,Boro Zone,40.652354649538466,-74.01127116962904
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.75672894163307,-73.96514579918421
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.75981761719184,-73.98419648907571
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.717772736265154,-74.00787970866399
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.71473250693942,-73.9830245583349
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.74991407790216,-73.97044256869236
234,Manhattan,Union Sq,Yellow Zone,40.74033744175701,-73.99045782354732
235,Bronx,University Heights/Morris Heights,Boro Zone,40.852521149263524,-73.91597542466441
236,Manhattan,Upper East Side North,Yellow Zone,40.780436437189955,-73.95701169835736
237,Manhattan,Upper East Side South,Yellow Zone,40.76861518381156,-73.9656345353807
238,Manhattan,Upper West Side North,Yellow Zone,40.791704934427074,-73.97304890061592
239,Manhattan,Upper West Side South,Yellow Zone,40.783961430313774,-73.97863194845081
240,Bronx,Van Cortlandt Park,Boro Zone,40.89459912750697,-73.88197807761938
241,Bronx,Van Cortlandt Village,Boro Zone,40.87651237544554,-73.8956200178548
242,Bronx,Van Nest/Morris Park,Boro Zone,40.846782895809824,-73.85067057708335
243,Manhattan,Washington Heights North,Boro Zone,40.85710828331442,-73.93283148761296
244,Manhattan,Washington Heights South,Boro Zone,40.841708771119755,-73.94139910573638
245,Staten Island,West Brighton,Boro Zone,40.6300493918307,-74.10286011016636
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.75330906598341,-74.00401512528654
247,Bronx,West Concourse,Boro Zone,40.82898823048458,-73.92440873264256
248,Bronx,West Farms/Bronx River,Boro Zone,40.83416531682759,-73.87228927297004
249,Manhattan,West Village,Yellow Zone,40.73457600733176,-74.00287495910837
250,Bronx,Westchester Village/Unionport,Boro Zone,40.83210165963214,-73.84864070062379
251,Staten Island,Westerleigh,Boro Zone,40.616880007711806,-74.12534779829355
252,Queens,Whitestone,Boro Zone,40.7881930167286,-73.8156568127099
253,Queens,Willets Point,Boro Zone,40.76063075217255,-73.84124393899134
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.88215708304702,-73.85894823975747
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.718803918129915,-73.95741813122186
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.710879933377385,-73.95990462730528
257,Brooklyn,Windsor Terrace,Boro Zone,40.65361187133665,-73.97798241330014
258,Queens,Woodhaven,Boro Zone,40.6887213569813,-73.85576675985413
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.89793202529466,-73.85221545370123
260,Queens,Woodside,Boro Zone,40.74423471780149,-73.90630644197883
261,Manhattan,World Trade Center,Yellow Zone,40.709138940671856,-74.01302277174901
262,Manhattan,Yorkville East,Yellow Zone,40.77593240314999,-73.94651035601467
263,Manhattan,Yorkville West,Yellow Zone,40.77876585543436,-73.95100987481798
264,Unknown,,,,
265,,Outside of NYC,,,
